Tahun,Produksi Beras (ton),Luas Panen (Ha),Jumlah Curah Hujan (mm),Jumlah Hari Hujan (Hari),Rata-rata Suhu (Celcius),Rata-rata Kelembapan Udara
2003,68322,15560,,,,
2005,51531,10998,,,,
2007,64292,13050,,,,
2008,57859,11800,,,,
2009,65941,13500,,,,
2010,70482,13793,,,,
2011,82448,16473,,,,
2012,82475,16535,2207.757,,,
2013,86456,16162,2706.422,,,
2014,89455,18032,2237.252,,,
2015,86004,17511,1459.2,,,
2016,86004,17511,2345.835,,,
2017,"	86004",17511,2874.26,,,
2018,31257.23,11662,1858,189,22.9,86.64
2019,21254.06,8764.31,1610.862,149.75,22.8,86.04
2020,20409.26,8024.89,2136,232,24.79,80.67
2021,22794.14,8466.15,2306,245,23.1,
2022,21261.06,7889.73,2595.824,,,
2023,18078,7053,1797,185,23.27,85.91
