Tahun,Produksi Beras (ton),Luas Panen (Ha),Jumlah Curah Hujan (mm),Jumlah Hari Hujan (Hari),Rata-rata Suhu (Celcius),Rata-rata Kelembapan Udara,Produktivitas Hasil Panen (Ton/Ha)
2003,68322.0,15560.0,2177.8676666666665,200.15,23.372,84.815,4.390874035989717
2005,51531.0,10998.0,2177.8676666666665,200.15,23.372,84.815,4.685488270594654
2007,64292.0,13050.0,2177.8676666666665,200.15,23.372,84.815,4.926590038314176
2008,57859.0,11800.0,2177.8676666666665,200.15,23.372,84.815,4.903305084745763
2009,65941.0,13500.0,2177.8676666666665,200.15,23.372,84.815,4.884518518518519
2010,70482.0,13793.0,2177.8676666666665,200.15,23.372,84.815,5.1099833248749365
2011,82448.0,16473.0,2177.8676666666665,200.15,23.372,84.815,5.005038547926911
2012,82475.0,16535.0,2207.757,200.15,23.372,84.815,4.98790444511642
2013,86456.0,16162.0,2706.422,200.15,23.372,84.815,5.3493379532236105
2014,89455.0,18032.0,2237.252,200.15,23.372,84.815,4.960902839396629
2015,86004.0,17511.0,1459.2,200.15,23.372,84.815,4.911427102963851
2016,86004.0,17511.0,2345.835,200.15,23.372,84.815,4.911427102963851
2017,86004.0,17511.0,2874.26,200.15,23.372,84.815,4.911427102963851
2018,31257.23,11662.0,1858.0,189.0,22.9,86.64,2.6802632481564053
2019,21254.06,8764.31,1610.862,149.75,22.8,86.04,2.425069400785687
2020,20409.26,8024.89,2136.0,232.0,24.79,80.67,2.5432448295241428
2021,22794.14,8466.15,2306.0,245.0,23.1,84.815,2.6923855589612753
2022,21261.06,7889.73,2595.824,200.15,23.372,84.815,2.6947766273370575
2023,18078.0,7053.0,1797.0,185.0,23.27,85.91,2.5631646108039132
